"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 21:39:24 ICT 2022","Tue Jun 07 21:39:25 ICT 2022","1039","","Your Cart","","User adds product to cart","","User adds product to cart",""
"passed","Tue Jun 07 21:39:16 ICT 2022","Tue Jun 07 21:39:24 ICT 2022","8033","","Login","","User logs in with a valid account","","User logs in with a valid account",""
